frame.number	frame.time_epoch	ip.src	ip.dst	sctp.srcport	sctp.dstport
1	1790058710.592773000	127.0.0.1	127.0.0.1	45816	2907
2	1790058710.592806000	127.0.0.1	127.0.0.1	2907	45816
3	1790058710.592820000	127.0.0.1	127.0.0.1	45816	2907
4	1790058710.592846000	127.0.0.1	127.0.0.1	2907	45816
5	1790058710.745235000	127.0.0.1	127.0.0.1	45816	2907
6	1790058710.745277000	127.0.0.1	127.0.0.1	2907	45816
7	1790058710.745400000	127.0.0.1	127.0.0.1	45816	2907
8	1790058710.745445000	127.0.0.1	127.0.0.1	2907	45816
9	1790058710.745467000	127.0.0.1	127.0.0.1	45816	2907
10	1790058710.750685000	127.0.0.1	127.0.0.1	45816	2907
11	1790058710.750746000	127.0.0.1	127.0.0.1	2907	45816
12	1790058710.851176000	127.0.0.1	127.0.0.1	45816	2907
13	1790058710.851261000	127.0.0.1	127.0.0.1	2907	45816
14	1790058710.865090000	127.0.0.1	127.0.0.1	45816	2907
15	1790058710.865188000	127.0.0.1	127.0.0.1	2907	45816
16	1790058710.865221000	127.0.0.1	127.0.0.1	2907	45816
17	1790058710.865232000	127.0.0.1	127.0.0.1	45816	2907
18	1790058710.866480000	127.0.0.1	127.0.0.1	45816	2907
19	1790058710.868715000	127.0.0.1	127.0.0.1	45816	2907
20	1790058710.868731000	127.0.0.1	127.0.0.1	2907	45816
21	1790058710.918154000	127.0.0.1	127.0.0.1	45816	2907
22	1790058710.918189000	127.0.0.1	127.0.0.1	45816	2907
23	1790058710.918196000	127.0.0.1	127.0.0.1	2907	45816
24	1790058710.919635000	127.0.0.1	127.0.0.1	45816	2907
25	1790058710.969901000	127.0.0.1	127.0.0.1	45816	2907
26	1790058710.969929000	127.0.0.1	127.0.0.1	2907	45816
27	1790058710.969976000	127.0.0.1	127.0.0.1	2907	45816
28	1790058710.978434000	127.0.0.1	127.0.0.1	45816	2907
29	1790058710.978557000	127.0.0.1	127.0.0.1	45816	2907
30	1790058710.978576000	127.0.0.1	127.0.0.1	2907	45816
31	1790058710.978597000	127.0.0.1	127.0.0.1	2907	45816
32	1790058710.978617000	127.0.0.1	127.0.0.1	2907	45816
33	1790058710.978631000	127.0.0.1	127.0.0.1	45816	2907
34	1790058710.978901000	127.0.0.1	127.0.0.1	45816	2907
35	1790058711.093336000	127.0.0.1	127.0.0.1	45816	2907
36	1790058711.093367000	127.0.0.1	127.0.0.1	2907	45816
37	1790058711.093426000	127.0.0.1	127.0.0.1	2907	45816
38	1790058711.093441000	127.0.0.1	127.0.0.1	45816	2907
39	1790058711.093450000	127.0.0.1	127.0.0.1	2907	45816
