frame.number	frame.time_epoch	ip.src	ip.dst	sctp.srcport	sctp.dstport	m3ua.message_class	m3ua.message_type	m3ua.protocol_data_opc	m3ua.protocol_data_dpc	m3ua.protocol_data_si
1	1784883546.619199000	127.0.0.1	127.0.0.1	59418	2906
2	1784883546.619316000	127.0.0.1	127.0.0.1	2906	59418
3	1784883546.619336000	127.0.0.1	127.0.0.1	59418	2906
4	1784883546.619492000	127.0.0.1	127.0.0.1	2906	59418
5	1784883546.642302000	127.0.0.1	127.0.0.1	59418	2906	3	1
6	1784883546.642352000	127.0.0.1	127.0.0.1	2906	59418
7	1784883546.642580000	127.0.0.1	127.0.0.1	2906	59418	3	4
8	1784883546.642594000	127.0.0.1	127.0.0.1	59418	2906
9	1784883546.655576000	127.0.0.1	127.0.0.1	59418	2906	4	1
10	1784883546.655734000	127.0.0.1	127.0.0.1	2906	59418	4	3
11	1784883546.780996000	127.0.0.1	127.0.0.1	59418	2906	1	1	1	2	3
12	1784883546.781362000	127.0.0.1	127.0.0.1	2906	59418	1	1	2	1	3
13	1784883546.836491000	127.0.0.1	127.0.0.1	59418	2906	1	1	1	2	3
14	1784883546.836725000	127.0.0.1	127.0.0.1	2906	59418	1	1	2	1	3
15	1784883546.839963000	127.0.0.1	127.0.0.1	59418	2906	1	1	1	2	3
16	1784883546.840184000	127.0.0.1	127.0.0.1	2906	59418	1	1	2	1	3
17	1784883546.842184000	127.0.0.1	127.0.0.1	59418	2906	1	1	1	2	3
18	1784883546.842468000	127.0.0.1	127.0.0.1	2906	59418	1	1	2	1	3
19	1784883546.844298000	127.0.0.1	127.0.0.1	59418	2906	1	1	1	2	3
20	1784883546.844550000	127.0.0.1	127.0.0.1	2906	59418	1	1	2	1	3
21	1784883546.957484000	127.0.0.1	127.0.0.1	59418	2906
22	1784883546.957532000	127.0.0.1	127.0.0.1	2906	59418
23	1784883546.957537000	127.0.0.1	127.0.0.1	59418	2906
